Jam,V L1,V L2,V L3,V Avg,I L1,I L2,I L3,I Avg,KW L1,KW L2,KW L3,KW AVG,KVA L1,KVA L2,KVA L3,KVA AVG,FREQ,PF,kWH
9/14/2023 22:25:15,393.8,390.11,386.48,390.13,233.47,270.66,241.62,248.59,39.97,49.86,47.16,136.98,52.64,61.56,53.97,168.16,50.25,1.18,6774353.219
9/14/2023 22:27:44,393.87,390.21,386.52,390.2,237.2,274.77,249.52,253.83,41.02,50.23,48.69,139.94,53.5,62.45,55.76,171.71,50.25,1.18,6774358.953
9/14/2023 22:31:48,393.66,390.15,386.48,390.1,240.54,271.33,248.05,253.31,41.21,48.92,47.5,137.63,54.16,61.65,55.46,171.45,50.16,1.2,6774368.277
9/14/2023 22:41:48,393.82,390.23,386.55,390.2,232.59,271.62,242.22,248.81,39.81,49.77,47.41,136.99,52.39,61.73,54.16,168.29,50.15,1.19,6774390.909
9/14/2023 22:51:48,393.99,390.45,386.96,390.47,234.26,262.31,238.01,244.86,39.17,46.81,44.93,130.91,52.84,59.62,53.2,165.66,50.16,1.21,6774413.71
9/14/2023 22:54:34,393.65,390.28,386.59,390.18,234.46,271.18,245.07,250.24,38.7,47.95,46.74,133.39,52.82,61.58,54.79,169.19,50.16,1.21,6774419.762
9/14/2023 23:4:34,393.39,390.15,386.28,389.94,233.86,276.6,253.9,254.79,39.75,49.49,49.52,138.76,52.6,62.81,56.66,172.08,50.16,1.19,6774442.413
9/14/2023 23:14:34,392.73,389.56,385.9,389.4,239.54,270.21,242.19,250.65,41.26,50.21,46.89,138.36,53.76,61.29,54.03,169.08,50.07,1.18,6774464.801
9/14/2023 23:24:34,393.66,390.33,386.7,390.23,233.27,265.23,240.06,246.18,38.36,47.22,45.28,130.86,52.45,60.17,53.55,166.17,50.14,1.21,6774487.308
9/14/2023 23:34:34,394.13,390.71,387.44,390.76,244.87,268,241.54,251.47,42.05,49.65,45.97,137.61,55.2,60.92,54.04,170.16,50.1,1.19,6774509.883
9/14/2023 23:44:34,393.27,390.24,386.63,390.05,245.53,268.01,245.98,253.17,42.97,49.88,46.98,139.83,55.28,60.76,54.83,170.86,50.01,1.18,6774532.435
9/14/2023 23:54:35,392.21,388.9,385.33,388.81,232.92,271.15,245.66,249.91,38.56,48.19,47,133.75,52.31,61.39,54.64,168.34,50.16,1.2,6774554.999
9/15/2023 0:4:35,392.41,389.2,385.55,389.05,237.97,272.15,242.46,250.86,40.67,50.27,47.01,137.95,53.47,61.66,54.07,169.2,50.17,1.18,6774577.396
9/15/2023 0:14:35,392.85,389.52,385.97,389.44,232.06,265.06,233.57,243.56,37.49,47.16,44.07,128.73,52.06,60.09,52.06,164.45,50.12,1.22,6774599.426
9/15/2023 0:24:35,393.43,390.11,386.67,390.09,237.11,264.87,239.69,247.22,40.5,48.11,45.88,134.49,53.39,60.13,53.58,167.1,50.19,1.2,6774621.829
9/15/2023 0:34:35,390.96,387.51,384.27,387.58,237.7,267.98,235.04,246.9,37.87,47.24,43.76,128.88,53.17,60.43,52.18,165.77,50.18,1.22,6774643.939
9/15/2023 0:44:35,389.97,386.71,383.34,386.67,243.68,274.59,244.63,254.28,40.32,48.92,46.12,135.36,54.3,61.81,54.26,170.37,50.14,1.21,6774666.333
9/15/2023 0:54:35,388.19,384.96,381.14,384.76,234.36,270.27,231.86,245.5,37,48.04,43.67,128.72,52.05,60.56,51.05,163.67,50.01,1.21,6774688.188
9/15/2023 1:4:35,388.5,385.39,381.54,385.14,230.04,260.69,233.42,241.38,36.46,44.98,43,124.44,51.09,58.41,51.52,161.03,50.03,1.23,6774709.649
9/15/2023 1:14:35,388.71,385.5,381.62,385.28,233.65,269.2,240.32,247.72,38.38,47.55,45.63,131.56,52.12,60.59,53.01,165.71,50.04,1.2,6774731.982
9/15/2023 1:24:36,389.17,386.02,382.38,385.85,241.42,265.49,238.8,248.57,39.08,46.48,43.86,129.42,53.74,59.62,52.8,166.15,50.09,1.22,6774753.627
9/15/2023 1:34:36,389.94,386.61,382.91,386.49,231.77,260.1,230.66,240.84,35.31,43.79,41.37,120.46,51.7,58.51,51.08,161.29,50.11,1.25,6774775.423
9/15/2023 1:44:36,390.09,386.8,383.16,386.68,232.26,263.13,233.99,243.13,37.4,46.1,43.65,127.21,51.84,59.28,51.82,162.94,50.15,1.22,6774796.829
9/15/2023 1:54:36,389.47,386.52,382.49,386.16,237.98,269.77,238.21,248.65,39.36,48.47,45.2,133.03,52.96,60.65,52.73,166.33,50.07,1.2,6774818.076
9/15/2023 2:4:36,390.09,387.02,383.09,386.74,229.85,265.39,233.89,243.04,36.6,46.47,43.91,126.98,51.29,59.42,51.78,162.35,50.15,1.22,6774840.073
9/15/2023 2:14:36,390.28,387.12,383.33,386.91,235.63,271.49,238.36,248.49,37.21,47.33,44.65,129.19,52.59,61.14,52.84,166.58,50.1,1.22,6774861.661
9/15/2023 2:24:36,390.61,387.53,383.68,387.27,233.54,266.22,236.22,245.34,36.08,44.99,43.23,124.3,52.2,60.07,52.44,164.71,50.13,1.24,6774883.226
9/15/2023 2:34:36,389.26,386.69,382.42,386.12,236.91,256.79,235.19,242.96,39.62,45.96,43.8,129.38,52.76,57.73,52.03,162.55,50.09,1.2,6774904.928
9/15/2023 2:44:36,390.09,387.36,383.09,386.87,232.71,264.36,237.94,245,38.5,47.1,45.19,130.8,51.88,59.54,52.74,164.17,50.17,1.2,6774926.287
9/15/2023 2:54:37,389.97,387.27,383.07,386.77,235.73,260.76,237.19,244.65,39.27,46.16,44.08,129.5,52.69,58.81,52.68,164.18,50.01,1.21,6774947.714
9/15/2023 3:4:37,390.64,387.66,383.58,387.29,236.23,274.67,237.85,249.58,37.97,49.18,45.3,132.46,52.78,61.95,52.82,167.55,50.04,1.21,6774969.605
9/15/2023 3:14:37,390.65,387.82,383.69,387.39,242.45,268.1,239.73,250.09,39.88,47.73,44.6,132.21,54.14,60.56,53.22,167.92,50.11,1.21,6774991.218
9/15/2023 3:24:37,390.52,387.76,383.64,387.31,243.27,268.82,243.69,251.93,41.62,49.03,46.55,137.2,54.32,60.68,54.12,169.12,50.12,1.19,6775013.369
9/15/2023 3:34:37,390.92,388.06,383.94,387.64,229.64,258.63,234.98,241.09,37.55,45.19,44.04,126.78,50.87,58.47,51.87,161.21,50.11,1.22,6775035.057
9/15/2023 3:44:37,391.2,388.29,384.2,387.89,232.94,262.41,232.79,242.72,37.49,46.05,43.43,126.97,52.23,59.5,51.7,163.42,50.15,1.22,6775056.743
9/15/2023 3:54:37,391.42,388.38,384.4,388.07,231.87,266.35,236.04,244.75,36.7,46.16,44.04,126.89,51.86,60.19,52.47,164.47,50.13,1.23,6775078.959
9/15/2023 4:4:37,391.21,388.37,384.4,387.99,242.31,269.01,247.76,253.03,41.98,48.64,47.41,138.03,54.21,60.8,55.06,170.07,50.1,1.19,6775100.748
9/15/2023 4:14:38,391.48,388.28,384.41,388.06,238,274.94,235.42,249.46,38.85,50.13,45.23,134.21,53.3,62.12,52.27,167.69,50.08,1.2,6775123.112
9/15/2023 4:24:38,391.46,388.31,384.76,388.18,244.85,270.18,242.42,252.47,42.6,50.43,46.73,139.76,54.84,61.06,53.98,169.88,50.03,1.18,6775145.319
9/15/2023 4:34:38,391.28,388.09,384.64,388,238.68,261.19,234.6,244.83,40.25,47.46,44.12,131.83,53.48,59.01,52.13,164.62,49.96,1.2,6775167.859
9/15/2023 4:44:38,392.03,388.82,385.15,388.67,235.25,269.7,239.46,248.19,38.1,47.49,45.42,131,52.79,61.06,53.28,167.13,50.17,1.22,6775190.281
9/15/2023 4:54:38,391.27,388.16,384.45,387.96,237.85,267.4,243.25,249.5,39.99,47.33,46.13,133.45,53.24,60.39,54.07,167.71,50.06,1.2,6775212.588
9/15/2023 5:4:38,391.61,388.43,384.87,388.3,232.66,262.29,232,242.32,37,45.56,43.01,125.57,52.28,59.2,51.44,162.92,50.1,1.23,6775234.752
9/15/2023 5:14:38,385.52,383.16,379.4,382.69,560.18,568.71,533.06,553.98,121.51,123.89,113.68,359.09,123.57,126.46,116.96,367,50.14,0.98,6775279.423
9/15/2023 5:24:38,384.72,382.35,378.48,381.85,580.05,591.01,554.11,575.05,125.25,128.34,117.55,371.14,127.77,131.17,121.41,380.35,50.05,0.98,6775340
9/15/2023 5:34:38,385.48,383.14,379.16,382.59,569.65,575.79,543.69,563.04,123.55,125.55,116.02,365.13,125.87,128.64,119.39,373.9,50.23,0.98,6775402.222
9/15/2023 5:44:39,385.05,382.63,378.72,382.12,570.61,582.86,548.64,567.37,123.69,127.03,116.71,367.44,125.8,129.51,120.32,375.63,50.18,0.98,6775464.164
9/15/2023 5:54:39,384.39,382.2,378.22,381.61,582.35,583.61,557.48,574.48,126.01,127.2,119.1,372.31,128.19,129.49,122.15,379.83,50.13,0.98,6775525.547
9/15/2023 6:1:16,384.17,381.79,378.28,381.41,590.25,600.24,554.52,581.67,128.69,131.1,118.85,378.7,129.96,133.01,121.46,384.43,50.09,0.99,6775567.194
9/15/2023 6:4:7,384.64,382.25,378.58,381.83,577.19,589.15,545.01,570.33,125.82,128.81,116.84,371.47,127.05,130.7,119.43,377.13,50.2,0.98,6775584.926
9/15/2023 6:6:41,383.18,381.47,377.29,380.65,627.18,604.88,584.02,605.36,134.81,130.69,124.81,390.31,137.16,132.46,127.22,396.84,50.09,0.98,6775600.76
9/15/2023 6:36:41,380.27,378.19,373.99,377.48,728.37,743.85,695.5,722.57,153.87,157.9,144.05,455.82,158.51,163.13,150.69,472.32,50.06,0.96,6775819.894
